Period,"February 5, 2021 10:00 AM -> April 22, 2025 11:00 AM"
,
Time,CABR Lot 1 Counter
3/21/2022 0:00,894
3/22/2022 0:00,654
3/23/2022 0:00,721
3/24/2022 0:00,769
3/25/2022 0:00,768
3/26/2022 0:00,1073
3/27/2022 0:00,1224
3/28/2022 0:00,291
3/29/2022 0:00,693
3/30/2022 0:00,805
3/31/2022 0:00,685
4/1/2022 0:00,1110
4/2/2022 0:00,647
4/3/2022 0:00,624
4/4/2022 0:00,690
4/5/2022 0:00,1056
4/6/2022 0:00,667
4/7/2022 0:00,622
4/8/2022 0:00,569
4/9/2022 0:00,1041
4/10/2022 0:00,997
4/11/2022 0:00,849
4/12/2022 0:00,662
4/13/2022 0:00,741
4/14/2022 0:00,842
4/15/2022 0:00,813
4/16/2022 0:00,937
4/17/2022 0:00,716
4/18/2022 0:00,432
4/19/2022 0:00,414
4/20/2022 0:00,580
4/21/2022 0:00,512
4/22/2022 0:00,632
4/23/2022 0:00,880
4/24/2022 0:00,908
4/25/2022 0:00,518
4/26/2022 0:00,391
4/27/2022 0:00,448
4/28/2022 0:00,511
4/29/2022 0:00,526
4/30/2022 0:00,875
5/1/2022 0:00,584
5/2/2022 0:00,377
5/3/2022 0:00,305
5/4/2022 0:00,251
5/5/2022 0:00,134
5/6/2022 0:00,425
5/7/2022 0:00,929
5/8/2022 0:00,913
5/9/2022 0:00,365
5/10/2022 0:00,256
5/11/2022 0:00,311
5/12/2022 0:00,211
5/13/2022 0:00,166
5/14/2022 0:00,339
5/15/2022 0:00,661
5/16/2022 0:00,373
5/17/2022 0:00,249
5/18/2022 0:00,226
5/19/2022 0:00,206
5/20/2022 0:00,185
5/21/2022 0:00,594
5/22/2022 0:00,289
5/23/2022 0:00,450
5/24/2022 0:00,421
5/25/2022 0:00,407
5/26/2022 0:00,279
5/27/2022 0:00,293
5/28/2022 0:00,492
5/29/2022 0:00,915
5/30/2022 0:00,539
5/31/2022 0:00,297
6/1/2022 0:00,292
6/2/2022 0:00,246
6/3/2022 0:00,338
6/4/2022 0:00,548
6/5/2022 0:00,415
6/6/2022 0:00,329
6/7/2022 0:00,210
6/8/2022 0:00,244
6/9/2022 0:00,190
6/10/2022 0:00,348
6/11/2022 0:00,540
6/12/2022 0:00,519
6/13/2022 0:00,249
6/14/2022 0:00,317
6/15/2022 0:00,331
6/16/2022 0:00,293
6/17/2022 0:00,461
6/18/2022 0:00,628
6/19/2022 0:00,716
6/20/2022 0:00,80
6/21/2022 0:00,243
6/22/2022 0:00,23
6/23/2022 0:00,5
6/24/2022 0:00,42
6/25/2022 0:00,78
6/26/2022 0:00,146
6/27/2022 0:00,39
6/28/2022 0:00,482
6/29/2022 0:00,541
6/30/2022 0:00,174
7/1/2022 0:00,162
7/2/2022 0:00,359
7/3/2022 0:00,565
7/4/2022 0:00,212
7/5/2022 0:00,122
7/6/2022 0:00,15
7/7/2022 0:00,81
7/8/2022 0:00,73
7/9/2022 0:00,29
7/10/2022 0:00,121
7/11/2022 0:00,39
7/12/2022 0:00,56
7/13/2022 0:00,15
7/14/2022 0:00,87
7/15/2022 0:00,90
7/16/2022 0:00,119
7/17/2022 0:00,471
7/18/2022 0:00,327
7/19/2022 0:00,15
7/20/2022 0:00,219
7/21/2022 0:00,590
7/22/2022 0:00,101
7/23/2022 0:00,95
7/24/2022 0:00,172
7/25/2022 0:00,17
7/26/2022 0:00,69
7/27/2022 0:00,7
7/28/2022 0:00,18
7/29/2022 0:00,69
7/30/2022 0:00,423
7/31/2022 0:00,31
8/1/2022 0:00,44
8/2/2022 0:00,4
8/3/2022 0:00,16
8/4/2022 0:00,199
8/5/2022 0:00,6
8/6/2022 0:00,6
8/7/2022 0:00,31
8/8/2022 0:00,1064
8/9/2022 0:00,594
8/10/2022 0:00,4
8/11/2022 0:00,17
8/12/2022 0:00,6
8/13/2022 0:00,98
8/14/2022 0:00,254
8/15/2022 0:00,16
8/16/2022 0:00,129
8/17/2022 0:00,6
8/18/2022 0:00,5
8/19/2022 0:00,230
8/20/2022 0:00,13
8/21/2022 0:00,61
8/22/2022 0:00,1
8/23/2022 0:00,118
8/24/2022 0:00,107
8/25/2022 0:00,283
8/26/2022 0:00,6
8/27/2022 0:00,357
8/28/2022 0:00,186
8/29/2022 0:00,1
8/30/2022 0:00,0
8/31/2022 0:00,1
9/1/2022 0:00,866
9/2/2022 0:00,1417
9/3/2022 0:00,44
9/4/2022 0:00,210
9/5/2022 0:00,376
9/6/2022 0:00,153
9/7/2022 0:00,0
9/8/2022 0:00,0
9/9/2022 0:00,0
9/10/2022 0:00,7
9/11/2022 0:00,632
9/12/2022 0:00,0
9/13/2022 0:00,637
9/14/2022 0:00,8
9/15/2022 0:00,363
9/16/2022 0:00,105
9/17/2022 0:00,23
9/18/2022 0:00,51
9/19/2022 0:00,0
9/20/2022 0:00,1
9/21/2022 0:00,1
9/22/2022 0:00,0
9/23/2022 0:00,3
9/24/2022 0:00,6
9/25/2022 0:00,0
9/26/2022 0:00,1
9/27/2022 0:00,1
9/28/2022 0:00,401
9/29/2022 0:00,20
9/30/2022 0:00,78
10/1/2022 0:00,392
10/2/2022 0:00,3
10/3/2022 0:00,0
10/4/2022 0:00,74
10/5/2022 0:00,0
10/6/2022 0:00,0
10/7/2022 0:00,139
10/8/2022 0:00,14
10/9/2022 0:00,0
10/10/2022 0:00,0
10/11/2022 0:00,50
10/12/2022 0:00,0
10/13/2022 0:00,1
10/14/2022 0:00,1
10/15/2022 0:00,52
10/16/2022 0:00,0
10/17/2022 0:00,0
10/18/2022 0:00,0
10/19/2022 0:00,147
10/20/2022 0:00,293
10/21/2022 0:00,60
10/22/2022 0:00,0
10/23/2022 0:00,346
10/24/2022 0:00,12
10/25/2022 0:00,214
10/26/2022 0:00,12
10/27/2022 0:00,107
10/28/2022 0:00,4
10/29/2022 0:00,2
10/30/2022 0:00,11
10/31/2022 0:00,2
11/1/2022 0:00,1
11/2/2022 0:00,3
11/3/2022 0:00,0
11/4/2022 0:00,65
11/5/2022 0:00,15
11/6/2022 0:00,21
11/7/2022 0:00,0
11/8/2022 0:00,0
11/9/2022 0:00,1
11/10/2022 0:00,1
11/11/2022 0:00,7
11/12/2022 0:00,123
11/13/2022 0:00,29
11/14/2022 0:00,3
11/15/2022 0:00,4
11/16/2022 0:00,16
11/17/2022 0:00,2
11/18/2022 0:00,22
11/19/2022 0:00,10
11/20/2022 0:00,9
11/21/2022 0:00,3
11/22/2022 0:00,7
11/23/2022 0:00,2
11/24/2022 0:00,224
11/25/2022 0:00,6
11/26/2022 0:00,48
11/27/2022 0:00,2
11/28/2022 0:00,0
11/29/2022 0:00,1
11/30/2022 0:00,0
12/1/2022 0:00,0
12/2/2022 0:00,2
12/3/2022 0:00,0
12/4/2022 0:00,0
12/5/2022 0:00,1
12/6/2022 0:00,24
12/7/2022 0:00,18
12/8/2022 0:00,2
12/9/2022 0:00,9
12/10/2022 0:00,12
12/11/2022 0:00,0
12/12/2022 0:00,0
12/13/2022 0:00,2
12/14/2022 0:00,2
12/15/2022 0:00,0
12/16/2022 0:00,6
12/17/2022 0:00,2
12/18/2022 0:00,175
12/19/2022 0:00,12
12/20/2022 0:00,7
12/21/2022 0:00,2
12/22/2022 0:00,15
12/23/2022 0:00,1
12/24/2022 0:00,1
12/25/2022 0:00,9
12/26/2022 0:00,5
12/27/2022 0:00,0
12/28/2022 0:00,6
12/29/2022 0:00,0
12/30/2022 0:00,0
12/31/2022 0:00,0
1/1/2023 0:00,0
1/2/2023 0:00,0
1/3/2023 0:00,0
1/4/2023 0:00,4
1/5/2023 0:00,0
1/6/2023 0:00,1
1/7/2023 0:00,9
1/8/2023 0:00,10
1/9/2023 0:00,0
1/10/2023 0:00,0
1/11/2023 0:00,0
1/12/2023 0:00,2
1/13/2023 0:00,0
1/14/2023 0:00,0
1/15/2023 0:00,0
1/16/2023 0:00,0
1/17/2023 0:00,1
1/18/2023 0:00,78
1/19/2023 0:00,66
1/20/2023 0:00,31
1/21/2023 0:00,176
1/22/2023 0:00,1310
1/23/2023 0:00,0
1/24/2023 0:00,122
1/25/2023 0:00,2
1/26/2023 0:00,121
1/27/2023 0:00,6
1/28/2023 0:00,0
1/29/2023 0:00,0
1/30/2023 0:00,0
1/31/2023 0:00,5
2/1/2023 0:00,129
2/2/2023 0:00,43
2/3/2023 0:00,1
2/4/2023 0:00,5
2/5/2023 0:00,2
2/6/2023 0:00,2
2/7/2023 0:00,84
2/8/2023 0:00,31
2/9/2023 0:00,1
2/10/2023 0:00,0
2/11/2023 0:00,4
2/12/2023 0:00,6
2/13/2023 0:00,0
2/14/2023 0:00,0
2/15/2023 0:00,41
2/16/2023 0:00,104
2/17/2023 0:00,1
2/18/2023 0:00,352
2/19/2023 0:00,57
2/20/2023 0:00,4
2/21/2023 0:00,0
2/22/2023 0:00,1
2/23/2023 0:00,0
2/24/2023 0:00,15
2/25/2023 0:00,0
2/26/2023 0:00,509
2/27/2023 0:00,315
2/28/2023 0:00,447
3/1/2023 0:00,0
3/2/2023 0:00,65
3/3/2023 0:00,1396
3/4/2023 0:00,117
3/5/2023 0:00,177
3/6/2023 0:00,120
3/7/2023 0:00,0
3/8/2023 0:00,354
3/9/2023 0:00,0
3/10/2023 0:00,1
3/11/2023 0:00,0
3/12/2023 0:00,0
3/13/2023 0:00,1
3/14/2023 0:00,0
3/15/2023 0:00,0
3/16/2023 0:00,74
3/17/2023 0:00,0
3/18/2023 0:00,0
3/19/2023 0:00,139
3/20/2023 0:00,6
3/21/2023 0:00,47
3/22/2023 0:00,1388
3/23/2023 0:00,1
3/24/2023 0:00,1029
3/25/2023 0:00,353
3/26/2023 0:00,58
3/27/2023 0:00,0
3/28/2023 0:00,166
3/29/2023 0:00,0
3/30/2023 0:00,2
3/31/2023 0:00,46
4/1/2023 0:00,28
4/2/2023 0:00,636
4/3/2023 0:00,5
4/4/2023 0:00,3
4/5/2023 0:00,1
4/6/2023 0:00,0
4/7/2023 0:00,173
4/8/2023 0:00,0
4/9/2023 0:00,0
4/10/2023 0:00,0
4/11/2023 0:00,11
4/12/2023 0:00,0
4/13/2023 0:00,0
4/14/2023 0:00,1518
4/15/2023 0:00,3
4/16/2023 0:00,1
4/17/2023 0:00,754
4/18/2023 0:00,12
4/19/2023 0:00,678
4/20/2023 0:00,8
4/21/2023 0:00,1
4/22/2023 0:00,761
4/23/2023 0:00,81
4/24/2023 0:00,0
4/25/2023 0:00,0
4/26/2023 0:00,0
4/27/2023 0:00,3
4/28/2023 0:00,0
4/29/2023 0:00,0
4/30/2023 0:00,0
5/1/2023 0:00,2
5/2/2023 0:00,142
5/3/2023 0:00,6
5/4/2023 0:00,0
5/5/2023 0:00,105
